OBJECTID,CMPTRL_CNTY_NBR,DPS_CNTY_NBR,FIPS_ST_CNTY_CD,TXDOT_CNTY_NBR,TXDOT_DIST_NBR,CNTY_NM,GID,SHAPE_Length,SHAPE_Area
176,190,190,48379,190,1,Rains,179,1.33604467531404,0.0644297444601148
177,250,250,48499,250,10,Wood,180,2.18160163440304,0.173379867345596
178,32,32,48063,32,19,Camp,181,1.42638402333397,0.0507991557283337
179,217,217,48433,217,8,Stonewall,182,1.93881893251664,0.232253425750845
180,104,104,48207,105,8,Haskell,183,1.91738366277802,0.227924633078989
181,132,132,48263,132,8,Kent,184,1.89524108693315,0.223030091338769
182,224,224,48447,224,3,Throckmorton,185,1.92171593390752,0.22920088902924
183,85,85,48169,86,5,Garza,186,1.89832313808019,0.224420637814097
184,153,153,48305,153,5,Lynn,187,1.9002340181407,0.22359285700777
185,252,252,48503,252,3,Young,188,1.94165106144445,0.233021766252557
186,110,110,48219,111,5,Hockley,209,1.92193610338151,0.228720044035759
187,40,40,48079,40,5,Cochran,210,1.76825411118273,0.195133568702058
188,74,74,48147,75,1,Fannin,211,2.26617085789287,0.226251698197074
189,49,49,48097,49,3,Cooke,212,2.83269108144934,0.225400963069624
190,91,91,48181,92,1,Grayson,213,2.36560021390877,0.246442501705932
191,169,169,48337,169,3,Montague,214,2.09026649177346,0.235632703136562
192,139,139,48277,139,1,Lamar,215,2.71537003860239,0.235197440439258
193,194,194,48387,194,1,Red River,216,3.52669670941272,0.266170871459796
194,39,39,48077,39,3,Clay,217,2.37848720568338,0.279926295545383
195,243,243,48485,243,3,Wichita,218,1.83317736481761,0.156295200801394
196,78,78,48155,79,25,Foard,219,2.30271173261074,0.177999148551569
197,51,51,48101,51,25,Cottle,220,2.02126038366925,0.228012424479493
198,173,173,48345,173,25,Motley,221,2.00371721746938,0.250394167795535
199,77,77,48153,78,5,Floyd,222,2.00689461164061,0.251107369465046
200,95,95,48189,96,5,Hale,223,2.018358264515,0.254141686628497
201,140,140,48279,140,5,Lamb,224,2.03098710963657,0.257463297667999
202,9,9,48017,9,5,Bailey,225,1.83628309648783,0.209332576872985
203,244,244,48487,244,3,Wilbarger,226,2.49883747104509,0.247244788684157
204,99,99,48197,100,25,Hardeman,227,1.90423971340252,0.176648087755868
205,223,223,48445,223,5,Terry,189,1.89668772080656,0.222977885059976
206,251,251,48501,251,5,Yoakum,190,1.79157767489055,0.200359847902185
207,43,43,48085,43,18,Collin,191,1.93121676326846,0.221921838900961
208,61,61,48121,61,18,Denton,192,1.96904441884265,0.238365665491011
209,249,249,48497,249,2,Wise,193,1.93232981994966,0.231113520924183
210,112,112,48223,113,1,Hopkins,194,2.29494144407487,0.198586746511895
211,172,172,48343,172,19,Morris,195,1.53869847393656,0.0644955120081321
212,116,116,48231,117,1,Hunt,196,2.04526773632113,0.220780988383903
213,80,80,48159,81,1,Franklin,197,1.42205469478381,0.0738385476156622
214,225,225,48449,225,19,Titus,199,2.00308107203858,0.106914419428216
215,60,60,48119,60,1,Delta,200,2.32114227501823,0.0697547616935408
216,19,19,48037,19,19,Bowie,201,4.05671782899674,0.231733252268024
217,138,138,48275,138,25,Knox,202,2.13352182496666,0.2152626175416
